,PD61632c_tds0001,PD61632d_tds0001,PD61632e_tds0001,PD61633c_tds0001,PD61633d_tds0001,PD61633e_tds0001
GNB1,403.751710654936,562.80156402737,577.499511241447,684.145650048876,598.600195503421,703.212121212121
TNFRSF14,344.81338028169,558.471830985916,479.082159624413,544.142018779343,492.897887323944,527.857981220657
PIK3CD,23.2210788899283,36.8621764889305,33.274711568444,36.2507015902713,30.4275023386342,34.5849703772997
MTOR,553.641960784314,692.45477124183,753.983137254902,852.175424836601,777.24862745098,877.024183006536
SPEN,10.8782173715325,12.4858572078217,15.2213733515234,19.9577080491132,16.2920418371987,20.0120054570259
EPHA2,519.435687478676,827.486182190379,709.665643125213,745.46878198567,692.768338451041,727.80791538724
ARID1A,618.307378244386,855.071303587052,818.608048993876,874.955088947215,828.811461067367,865.272820064159
ZC3H12A,555.023333333333,890.422222222222,765.699444444444,811.772777777778,755.651111111111,789.823888888889
PIK3R3,513.108923884514,490.441601049869,630.070866141732,822.166666666667,691.77624671916,809.408792650919
CDKN2C,667.759368836292,759.329388560158,879.816568047337,1022.34714003945,911.12426035503,966.143984220907
JAK1,494.91544011544,578.229437229437,670.667821067821,801.261183261183,729.311976911977,817.304473304473
FUBP1,669.348848848849,534.907407407407,755.57957957958,979.955455455455,812.240740740741,932.955955955956
RPL5,351.351230425056,276.74384787472,437.719239373602,619.192393736018,490.417225950783,630.988814317673
NRAS,434.777192982456,417.094736842105,593.552631578947,738.09298245614,651.780701754386,785.478947368421
NOTCH2,560.515641855448,738.562028047465,765.295307443366,877.986650485437,800.391855447681,885.519012944984
RIT1,746.165963431786,806.894514767932,984.544303797468,1106.7482419128,1004.65541490858,1133.63291139241
ELF3,485.042114695341,721.082437275986,653.694444444444,714.740143369176,648.959677419355,699.037634408602
PIGR,536.41045751634,783.61220043573,756.145098039216,839.848366013072,767.80348583878,838.22614379085
H3F3A,235.834549878346,188.32603406326,273.386861313869,441.518248175182,350.031630170316,438.194647201946
AKT3,30.6138888888889,15.6243055555556,33.2395833333333,51.7666666666667,39.6201388888889,50.7055555555556
MYCN,34.1863799283154,58.5541218637993,53.552688172043,60.1383512544803,48.1971326164875,59.4587813620072
RHOB,517.886632825719,889.585448392555,728.023688663283,769.279187817259,642.756345177665,713.049069373942
DNMT3A,423.46294267981,648.638189120117,612.607155896313,670.93172690763,626.936108068638,674.115370573202
ASXL2,0.199396471680594,0.464252553389044,0.528319405756732,0.62627669452182,0.482590529247911,0.715877437325905
FOSL2,0,0,0,0,0,0
ALK,5.38988278840222,8.22167386387004,8.35266296524779,12.4805675508945,12.0655973678799,14.0183014600041
ZFP36L2,394.608754208754,667.080808080808,551.828956228956,610.315824915825,553.722558922559,553.571717171717
XPO1,24.6912313432836,11.1231343283582,23.8718905472637,42.2008706467662,28.8628731343284,39.538868159204
PCBP1,72.2623716153128,114.855275443511,108.168067226891,140.62558356676,113.261437908497,145.535947712418
SFTPB,526.647208121827,822.508460236887,739.906937394247,783.496615905245,718.626057529611,784.224196277496
BCL2L11,0,0,0,0,0,0
CXCR4,952.846872082166,1265.90196078431,1258.82166199813,1354.84220354809,1295.31279178338,1325.03267973856
ACVR2A,618.051880674449,481.473411154345,763.230220492866,980.557068741894,842.519455252918,982.378728923476
ACVR1,548.659477124183,569.225490196078,726.543137254902,926.339869281046,823.113071895425,941.777124183007
NFE2L2,1110.80748074807,1133.64796479648,1357.88778877888,1506.97689768977,1365.48184818482,1458.89713971397
SF3B1,754.604597701149,611.850830140485,892.309578544061,1125.58033205619,938.310600255428,1086.93895274585
CASP8,555.858998144712,589.615337043908,719.061224489796,842.484848484848,769.770562770563,863.968460111317
BMPR2,802.310875842156,889.485081809432,1051.61918511389,1183.53256336221,1065.20051331408,1167.47224895733
CTLA4,0,0,0,0,0,0
IDH1,570.664257028113,544.44016064257,748.496385542169,937.486746987952,804.738152610442,937.856224899598
ERBB4,514.522026992615,483.088617265088,678.86427298192,864.888973771327,772.673287496817,904.435192258722
CUL3,513.201993931513,379.199826614651,616.431296055483,825.613784135241,692.976592977893,832.06285218899
PDCD1,0,0,0,0,0,0
VHL,445.802180685358,647.295950155763,644.397196261682,689.679127725857,621.347352024922,705.666666666667
RAF1,629.974090682611,717.061285500747,837.531639262581,957.237668161435,862.231689088191,973.300946686597
TGFBR2,649.649803260259,868.862282181001,863.446880269815,982.096683530073,882.667228780214,976.765598650927
MYD88,590.351153039832,923.081761006289,839.039832285115,881.455974842767,816.56498951782,854.663522012579
CTNNB1,921.65558397272,1063.36615515772,1252.66794543905,1293.05711849957,1198.22250639386,1299.04433077579
SETD2,1043.39649122807,1049.55646523717,1295.65263157895,1388.48719948018,1256.29122807018,1357.76140350877
RHOA,680.103092783505,722.927835051546,878.149484536082,997.134020618557,917.898625429553,1012.13745704467
BAP1,656.402739726027,980.291780821918,887.995433789954,931.461643835616,889.482191780822,913.690410958904
PBRM1,628.163510848126,591.405917159763,770.04516765286,914.137672583826,801.271400394477,922.895857988166
FOXP1,494.611764705882,545.379411764706,667.69068627451,786.079411764706,697.344607843137,809.103921568627
ROBO2,539.875694444444,553.453240740741,747.157407407407,871.984259259259,796.490277777778,923.07962962963
NFKBIZ,890.562355122856,1052.28743625406,1139.89754288363,1202.81687528975,1110.03755215577,1184.48215113584
CBLB,0,0,0,0,0,0
GATA2,469.268884268884,751.758142758143,668.084546084546,700.665973665974,654.60498960499,706.212058212058
PIK3CB,587.422969187675,468.388422035481,704.24183006536,926.573295985061,774.71802054155,926.322751322751
FOXL2,158.876215738285,272.146772767462,236.838196286472,257.202475685234,236.609195402299,246.589743589744
RASA2,459.022718370544,311.588719153937,517.448100274187,733.412064238151,587.813160987074,721.218958088523
TBL1XR1,560.418770226537,449.421359223301,690.234951456311,906.864077669903,747.214886731392,887.523624595469
PIK3CA,616.320236981603,457.906142812597,727.097287184284,942.371063299033,782.80947926411,921.169317118803
KLHL6,0,0,0,0,0,0
TP63,484.5364659814,569.39011257954,668.389133627019,830.846304454234,738.928046989721,862.285364659814
MB21D2,52.0494579945799,52.360433604336,67.7771002710027,92.5006775067751,88.9485094850948,98.2371273712737
FGFR3,489.056036258756,811.68108776267,673.608158220025,675.213432220849,649.904408735064,658.679027606098
PHOX2B,232.666666666667,338.395767195767,326.511111111111,396.773544973545,353.150264550265,392.292063492064
PDGFRA,617.050458715596,710.290825688073,844.061162079511,961.644648318043,876.952599388379,982.881039755352
KIT,591.481405663596,611.197202320027,801.691231661549,940.200272944388,860.215967246673,963.479358580689
EPHA5,11.0796403339756,9.73538856775851,15.344894026975,21.1290944123314,18.7533718689788,22.5966602440591
ALB,562.932240437158,473.096721311475,701.813661202186,904.554098360656,777.734426229508,927.782513661202
TET2,1116.65365612648,1332.88175230567,1474.10820158103,1476.89311594203,1406.27042160738,1482.39640974967
FAT4,1018.44152281547,1195.37401311388,1362.31868058343,1388.36176903519,1314.55486417771,1406.74053258397
FBXW7,639.692561205273,634.910075329567,833.497645951036,988.18879472693,895.79143126177,1013.95197740113
FGB,721.792005420054,674.092818428184,880.672086720867,1029.88414634146,891.724254742547,1052.62195121951
FGA,842.57477893118,1034.0861207228,1134.90926566705,1188.90388312188,1111.25720876586,1188.55824682814
FAT1,1001.04881237742,1170.47454056803,1304.16532287354,1383.29912108666,1301.75898888647,1371.60666811942
TERT,21.9673433362754,37.867902324213,31.9905854663136,31.8540747278611,30.8987937628714,30.7861135628126
IL7R,584.958695652174,676.707971014493,811.772463768116,953.060869565217,909.986956521739,1023.25217391304
MAP3K1,5.14276272306676,3.49724608944701,6.93148270544173,11.8380700594845,9.44238819123155,12.2815598149372
PIK3R1,648.12323783538,577.634379263302,787.522964984084,1043.02910413824,884.571623465211,1036.69258753979
RASA1,0,0,0,0,0,0
APC,1040.55614158462,1061.59188935771,1322.21354899203,1459.32395686826,1341.79137365213,1444.91268166901
FAT2,786.750114942529,1042.39754789272,1074.19517241379,1178.86344827586,1120.95908045977,1163.9967816092
NPM1,267.102824858757,202.684745762712,327.361581920904,477.285875706215,396.871186440678,488.874576271186
NSD1,803.86515881844,910.941663576814,1034.91509084168,1161.31244592757,1072.91323692992,1162.02162897046
FOXQ1,164.438943894389,278.53300330033,244.159240924092,266.615511551155,228.917491749175,238.267326732673
HIST1H3B,430.29197080292,518.698296836983,538.63503649635,638.873479318735,555.644768856448,628.384428223844
HIST1H2BD,198.847769028871,252.212598425197,263.658792650919,363.036745406824,341.832020997375,372.417322834646
HLA-A,81.5645161290323,123.663082437276,105.23476702509,216.967741935484,207.336917562724,211.824372759857
HLA-B,195.584022038567,305.133149678604,285.887052341598,360.840220385675,318.498622589532,357.813590449954
LTB,0,0,0,0,0,0
NOTCH4,585.325182967399,909.336660013307,819.712242182302,861.002661343979,824.311876247505,859.895542248836
CDKN1A,481.740368509213,781.986599664992,670.765494137353,737.867671691792,695.430485762144,746.490787269682
PIM1,15.567940552017,25.0562632696391,23.0371549893843,28.5912951167728,21.9628450106157,29.5891719745223
CCND3,32.0534698521047,49.0830489192264,45.0534698521047,57.9567690557452,53.6154721274175,57.0170648464164
TRAF3IP2,644.382028985507,824.015072463768,838.31884057971,923.153623188406,858.76231884058,927.319420289855
IFNGR1,30.0401360544218,14.8006802721088,24.4469387755102,46.8258503401361,31.0877551020408,44.7918367346939
ESR1,449.011744966443,581.424496644295,636.201342281879,716.35067114094,641.711409395973,741.829418344519
ARID1B,549.243959243086,738.091120815138,737.7269286754,798.908588064047,744.477874818049,804.39403202329
CARD11,0,0,0,0,0,0
RAC1,377.827044025157,449.135220125786,508.753144654088,657.687106918239,543.822327044025,883.935534591195
GCK,336.927194860814,535.830835117773,476.204139900071,590.336188436831,491.51391862955,801.154889364739
IKZF1,24.4820512820513,20.2166666666667,32.5423076923077,46.6301282051282,42.2833333333333,68.0666666666667
EGFR,435.077621800165,544.565648224608,599.783099366914,774.797687861272,659.092485549133,1082.33993944399
GTF2I,113.737070403737,75.676009342676,128.196863530197,204.451451451451,150.777444110777,277.817817817818
CDK6,412.717635066259,478.188583078491,554.13251783894,739.14373088685,613.035677879715,1021.79306829766
KMT2E,786.740003586157,748.19311457773,946.504751658598,1197.87609826071,988.378877532724,1610.2969338354
PIK3CG,18.0414022363252,10.8951344817165,21.3372620126927,28.8618918102146,25.1610758537322,42.3499546690843
MET,807.512656730542,812.88478826591,1012.28483558079,1292.07546723445,1080.97539626212,1742.56115448308
BRAF,499.370273794003,401.448935245545,634.247718383312,868.883094306823,672.015645371578,1184.29813124728
PRSS1,471.70737913486,608.160305343511,658.306615776081,784.123409669211,691.655216284987,1067.20229007634
EZH2,23.0864361702128,23.7730496453901,30.7451241134752,41.9233156028369,36.0208333333333,60.0474290780142
KMT2C,738.336754544845,837.735627557523,975.94767558865,1123.08613403099,990.370295834172,1547.09129938955
FGFR1,504.569476971116,743.316159250585,699.393832943013,780.338797814208,703.855191256831,759.193208430913
SOX17,48.6136546184739,74.0843373493976,70.5710843373494,99.1526104417671,74.9839357429719,86.9429718875502
PREX2,451.202655050819,392.272557560672,590.414851690521,781.939431653184,652.476042314872,786.368803152873
CNBD1,37.0450038138825,19.8207475209764,39.6125095347063,71.1258581235698,49.8131197559115,68.3768115942029
MYC,603.205860805861,888.23956043956,830.07032967033,930.615384615385,815.268864468864,886.76336996337
TG,460.061394005056,625.516552305285,664.102684482966,778.760202239076,703.99012880703,788.103888286987
JAK2,688.278317152104,502.190938511327,783.100323624595,1022.70403059723,818.619299794057,987.2097675787
CD274,0,0,0,0,0,0
PSIP1,595.41117388575,442.581293157564,684.829252981795,917.145009416196,726.970495919648,900.887005649717
CDKN2A.p16INK4a,560.934182590233,921.131634819533,800.452229299363,807.743099787686,748.220806794055,846.333333333333
CDKN2A.p14arf,433.46365914787,703.576441102757,610.047619047619,634.914786967419,580.200501253133,663.759398496241
PAX5,352.25,494.670068027211,497.19387755102,597.25,526.763605442177,618.549319727891
GNAQ,520.514814814815,565.312037037037,714.641666666667,804.840740740741,720.82962962963,858.407407407407
PTCH1,0,0,0,0,0,0
KLF4,565.776388888889,951.051388888889,775.21875,789.929861111111,739.419444444444,792.472222222222
PPP6C,683.551992225462,626.829931972789,868.481049562682,996.20019436346,848.619047619048,987.884353741497
TSC1,558.443490701001,682.464663805436,756.775965665236,846.314735336195,782.803719599428,880.818311874106
RXRA,14.7933765298776,25.9344852411807,25.0525557955364,31.1274298056156,28.902807775378,31.9690424766019
NOTCH1,508.442879499218,846.05059989567,702.495174752217,696.669535732916,676.857720396453,694.216484089724
GATA3,470.922097378277,715.217228464419,672.778277153558,722.513857677903,693.845692883895,731.265168539326
RET,3.53662182361734,5.7372197309417,5.98445440956652,7.6,6.75635276532137,8.07324364723468
HNRNPF,816.783653846154,1118.78605769231,1045.9375,1142.87259615385,1073.55528846154,1117.43830128205
ARID5B,659.437061956826,814.272778245024,880.24530417718,977.401457807681,903.426689094477,956.345107933838
KAT6B,862.938765670203,1069.27868852459,1134.89922854388,1207.55576984892,1127.18225650916,1195.44053359049
PTEN,469.790429042904,335.061881188119,545.004125412541,719.935643564356,594.95297029703,716.707095709571
FAS,0,0,0,0,0,0
SUFU,381.229553264605,547.220618556701,533.022680412371,612.843298969072,566.26735395189,627.492783505155
GPAM,541.473663047849,493.617209489345,694.930036188179,866.913550462404,767.144752714113,889.23763570567
TCF7L2,270.812903225806,320.647311827957,362.595161290323,437.720967741936,384.211290322581,448.984946236559
FGFR2,400.889833940867,480.025516403402,564.151478331308,679.761036857027,603.159578776833,707.773187525314
HRAS,427.868421052632,701.077192982456,603.724561403509,651.39649122807,626.294736842105,662.885964912281
INS,333.894894894895,565.447447447447,476.198198198198,545.663663663664,491.921921921922,540.147147147147
PIK3C2A,756.341829677929,627.380952380952,891.218138707765,1102.28808535862,918.635249950603,1065.21398933017
MYOD1,559.299065420561,946.373831775701,760.127725856698,797.714434060228,740.441329179647,781.998961578401
MEN1,394.48538961039,650.023268398268,567.49025974026,625.315476190476,579.051948051948,603.916666666667
CCND1,329.342342342342,519.403153153153,471.209459459459,539.003378378378,482.286036036036,521.266891891892
ATM,584.453712790317,441.2744520772,688.77036310108,900.771017337259,745.891505833606,896.002398865991
CBL,653.8401323043,688.446527012128,842.504961411246,993.945240720323,889.997427416391,1001.71811833885
CHD4,791.556414219475,998.285248153873,1056.98952430019,1131.58080027477,1058.57341576507,1117.07813841662
ETV6,485.633554083885,695.049300956586,678.306843267108,799.682855040471,738.194996320824,811.359087564386
CDKN1B,430.681229773463,555.265372168285,590.116504854369,722.223300970874,614.381877022654,696.92071197411
KRAS,412.8,311.684210526316,509.521052631579,687.019298245614,544.885964912281,697.587719298246
ARID2,987.97385620915,1100.35911401598,1256.63798111837,1353.69535221496,1243.43754538853,1344.12636165577
KMT2D,705.705910677742,1079.82821716625,975.991693752257,987.029493198507,942.987360057783,970.64650294932
RARG,0,0,0,0,0,0
ERBB3,705.266070985356,913.059319930504,941.752792256143,1036.11491685282,951.480516257136,1032.57582526682
CDK4,754.72149122807,1037.46381578947,1069.28070175439,1097.41666666667,1026.09539473684,1105.42543859649
PTPN11,73.2828282828283,83.8507295173962,107.571829405163,135.260381593715,119.572390572391,145.987654320988
HNF1A,434.890899949723,683.506284565108,614.421820010055,681.391151332328,622.19708396179,663.584213172448
POLE,4.36860515959773,5.92843608803381,6.61303017052908,8.81372977700044,7.56784725258709,8.76738084827285
LATS2,559.890419344965,851.929292929293,782.37802265075,766.097337006428,722.863789409244,793.47903275176
PDX1,347.357981220657,597.328638497653,519.865023474178,515.657276995305,487.367370892019,504.262910798122
BRCA2,1103.70946670566,870.108998732573,1249.58964609535,1475.62542653797,1237.46407331578,1419.30622989178
FOXO1,783.074695121951,1092.58028455285,1050.21798780488,1107.36483739837,1050.82571138211,1095.32469512195
RB1,457.745963401507,338.049156799426,531.664513814137,723.354503049874,561.256907068532,679.970218873341
DIS3,52.7862356621481,35.0955856795273,68.844629822732,91.7365311087939,73.1887382690302,96.6889120611748
KLF5,788.182678311499,1040.90247452693,1037.05822416303,1102.94395924309,1020.29912663755,1089.57059679767
ERCC5,20.4403257511935,18.1345127773097,31.6523448469531,39.893850042123,36.3583263128335,47.06149957877
AJUBA,494.986394557823,793.6097711812,704.450834879406,728.6524427953,667.580705009276,716.897340754484
CIDEB,666.457575757576,953.010606060606,916.621212121212,981.865151515152,938.406060606061,979.993939393939
PAX9,540.798245614035,804.913255360624,737.980506822612,767.228070175439,732.179337231969,786.263157894737
FOXA1,586.111346018323,936.438336856942,802.497533474278,817.245243128964,770.603946441156,815.746300211416
MAX,263.045548654244,374.944099378882,392.068322981366,485.393374741201,423.658385093168,522.062111801242
ZFP36L1,656.257620452311,1075.66666666667,913.705014749263,925.034414945919,863.621435594887,907.267453294002
DICER1,19.9268504073496,16.1759403709482,23.9885595423817,39.0208008320333,29.7798578609811,37.9523314265904
TRAF3,0,0,0,0,0,0
AKT1,432.074151074151,711.496188496189,607.223839223839,645.24948024948,597.559251559252,631.901593901594
TMEM121,287.3,495.872916666667,403.964583333333,450.052083333333,427.127083333333,433.204166666667
MGA,974.426179604262,1035.68406175255,1248.94270493586,1343.60969776038,1250.35659926071,1338.91617742988
B2M,750.363143631436,809.357723577236,1022.52574525745,1159.85365853659,1048.43360433604,1133.46883468835
MAP2K1,377.719966159052,484.82910321489,547.538917089679,640.058375634518,562.802030456853,656.648054145516
NTRK3,16.1904761904762,20.7797619047619,26.9281746031746,32.4111111111111,30.9174603174603,37.7456349206349
IDH2,492.513612950699,760.902869757174,670.543046357616,724.120676968359,686.680647534952,729.259749816041
AXIN1,547.297025878718,844.268443414446,750.968713789108,831.234453456933,743.151409810738,771.528389339513
PKD1,359.42030669145,611.597273853779,501.77478314746,509.101301115242,473.408999380421,481.122289343247
CREBBP,596.502660663119,829.413016782644,805.183790421613,905.433619866285,802.426115431846,871.981307136035
GRIN2A,31.7947667804323,44.0814562002275,51.5540386803185,70.7014789533561,61.9701934015927,73.9426621160409
SOCS1,483.790880503145,841.589622641509,672.880503144654,730.907232704403,653.704402515723,673.110062893082
PALB2,850.914911541702,884.332210053356,1084.54085930918,1244.08677337826,1105.66863240663,1205.25695029486
CYLD,0,0,0,0,0,0
CBFB,349.728723404255,310.489361702128,426.297872340426,582.735815602837,476.478723404255,567.083333333333
CTCF,682.469322344322,761.839743589744,883.470695970696,1032.85805860806,893.15293040293,990.332417582418
CDH1,9.15930539826349,14.5318988297471,14.2748206870517,19.1015477538694,16.9075122687807,18.6107965269913
ZFHX3,698.571544276458,1016.67332613391,970.738120950324,1002.21976241901,942.805615550756,971.809575233981
GPS2,688.168699186992,938.126016260163,946.346544715447,1014.64329268293,971.843495934959,1014.97357723577
TP53,524.567681895093,738.274957698816,719.445854483926,760.099830795262,714.642131979695,764.48730964467
MAP2K4,365.425790754258,318.801297648013,468.596107055961,613.83698296837,518.547445255474,615.955393349554
NCOR1,579.093540898539,578.907005325686,751.511402430698,918.497746825072,812.743820838454,923.942373344258
NF1,583.391784037559,497.427582159624,726.172417840376,950.523004694836,814.661150234742,949.944953051643
HNF1B,432.097371565114,610.349462365591,606.504181600956,722.193548387097,643.547789725209,740.23715651135
CDK12,4.54706013860943,4.3326626425218,5.51710261569417,7.36396154706014,7.11558238318802,9.34071093226023
ERBB2,576.73991507431,882.566348195329,787.752388535032,852.776539278132,791.236199575372,830.794055201698
STAT3,477.166882836144,572.898832684825,647.902723735409,761.198443579766,680.327280587981,781.785559878945
BRCA1,945.344120247569,923.154376657825,1170.81503094607,1320.27444739169,1178.71264367816,1310.03872679045
HOXB3,501.070987654321,783.595679012346,707.292438271605,735.406635802469,700.149691358025,708.908950617284
SPOP,587.928888888889,561.889777777778,766.672888888889,929.064,823.161777777778,945.738666666667
RNF43,620.710884353741,892.024234693878,837.930272108843,877.880952380952,842.540816326531,866.011479591837
PPM1D,697.820132013201,750.684818481848,895.62101210121,1033.70077007701,936.24697469747,1029.74422442244
CD79B,492.936507936508,802.350649350649,700.992784992785,724.018759018759,685.134199134199,714.75468975469
GNA13,634.990299823633,640.482363315697,771.809523809524,964.402998236332,833.984126984127,937.987654320988
AXIN2,600.031990521327,886.223933649289,829.635466034755,867.802922590837,820.221563981043,873.167456556082
PRKAR1A,607.768760907504,567.376963350785,770.593368237347,955.957242582897,852.708551483421,974.905759162304
SOX9,495.039869281046,783.922875816993,661.313071895425,717.798692810458,645.983006535948,674.453594771242
H3F3B,599.007299270073,910.63503649635,843.206812652068,929.435523114355,834.14598540146,913.024330900243
SRSF2,466.747747747748,792.237237237237,658.566066066066,704.246246246246,646.591591591592,695.226726726727
ZNF750,728.515193370166,1096.80893186004,1020.89042357274,1024.09484346225,976.686003683241,980.991252302026
SMAD2,629.612535612536,524.75,787.428774928775,938.033475783476,816.230056980057,982.034188034188
SMAD4,639.955997588909,556.496684749849,804.671488848704,968.922845087402,856.038577456299,977.063291139241
BCL2,283.063888888889,441.652777777778,392.716666666667,449.6125,392.590277777778,429.775
STK11,394.424731182796,645.344086021505,563.148233486943,615.533026113671,553.113671274962,606.878648233487
GNA11,322.321296296296,525,464.282407407407,497.372222222222,451.500925925926,482.359259259259
MAP2K2,272.784704904406,442.231920199501,388.659185369909,425.934330839568,380.248545303408,429.891936824605
KEAP1,563.257066666667,884.772266666667,755.36,810.562666666667,758.210133333333,795.643733333333
SMARCA4,400.274603174603,624.934325396825,549.436904761905,613.621825396825,559.085912698413,615.758134920635
CALR,680.611642743222,940.484051036683,897.257575757576,977.416267942584,914.755183413078,939.689792663477
NOTCH3,495.016221648005,789.471002009762,687.665087568188,704.591874820557,655.698679299455,697.724519092736
PIK3R2,437.958390489255,702.86739826246,614.026977594879,643.522633744856,600.940557841792,621.689986282579
MEF2B,37.6312056737589,65.008865248227,63.8918439716312,71.8563829787234,64.8324468085106,75.1374113475177
CEBPA,254.710306406685,444.606313834726,381.551532033426,370.809656453111,366.766945218199,371.292479108635
KMT2B,0,0,0,0,0,0
CD79A,345.992657856094,542.513950073421,473.998531571219,546.621145374449,490.687224669604,543.809104258443
CIC,654.490788601723,1068.51345261763,898.962889330683,890.816169648774,865.174022531478,865.128429423459
ERCC2,480.787122207622,772.699518177836,684.481384143671,704.286027157249,658.740254051686,685.112571178274
ARHGAP35,1007.82644444444,1232.06844444444,1299.55866666667,1353.37,1285.84822222222,1356.53622222222
PPP2R1A,452.96384180791,690.676271186441,650.272316384181,726.558192090395,669.540677966102,725.860451977401
PAK7,31.0490740740741,46.8023148148148,46.8087962962963,59.9407407407407,57.1050925925926,64.1564814814815
FOXA2,657.711206896552,1047.82543103448,905.390086206897,928.000718390805,844.986350574713,869.257902298851
ASXL1,801.966061392131,1093.41245136187,1065.26394293126,1146.28166882836,1082.40661478599,1102.02421098141
DNMT3B,10.3380171740827,14.6451990632318,15.5577673692428,22.0402029664325,15.792349726776,20.0417642466823
PTPRT,21.8710928587725,28.9450148300251,31.8368697239334,45.4542550764317,37.3020762035136,44.9306411133927
HNF4A,308.128421052632,456.63649122807,439.689122807018,552.075789473684,476.08701754386,534.740350877193
GNAS,628.485549132948,959.847463070006,870.327552986513,895.259473346179,844.928387925498,875.710340398202
RUNX1,352.88911988912,505.058212058212,480.920304920305,577.626472626473,528.108801108801,579.830214830215
ERG,427.149897330595,565.402464065708,588.885694729637,697.939767282683,641.676933607118,717.183436002738
U2AF1,418.167358229599,484.677731673582,549.153526970954,695.103734439834,607.120331950208,695.663900414938
MAPK1,450.753462603878,445.404432132964,616.075715604802,771.67405355494,678.469067405356,807.355493998153
SMARCB1,370.133333333333,559.010126582279,519.718987341772,605.333333333333,564.783966244726,613.693670886076
CHEK2,401.466780238501,377.303804656445,503.63827370812,633.531516183986,546.939806927882,647.781942078365
NF2,279.621364653244,347.662751677852,388.639821029083,509.291946308725,454.736017897092,542.709172259508
TNRC6B,633.679934569248,777.001817520901,833.311704834606,933.736459469284,873.702108324246,938.427480916031
EP300,708.290407177364,872.093995859213,922.336783988958,1048.24844720497,952.515665976536,1035.96452726018
CRLF2,407.103761348898,534.203631647211,559.277561608301,606.474708171206,558.560311284047,642.791180285344
PIGA,458.533333333333,487.529896907216,584.045360824742,644.854295532646,587.177319587629,653.996563573883
ZRSR2,310.016563146998,357.893719806763,414.774327122153,441.582470669427,402.941338854382,456.097308488613
EIF1AX,204.919540229885,145.24367816092,244.691954022989,336.216091954023,266.809195402299,326.177011494253
BCOR,390.32953682612,545.6192103265,519.030372057707,517.586940015186,499.545178435839,517.45747911921
DDX3X,490.364002011061,451.904977375566,591.345399698341,641.777275012569,574.85118149824,641.113122171946
KDM6A,354.172462739532,337.400283889283,440.874852140998,507.080198722498,440.764845043766,509.286728176011
RBM10,306.890440386681,501.979233798783,426.882921589689,411.162191192266,390.987468671679,409.224131757966
GATA1,307.166666666667,462.80193236715,426.195652173913,407.985507246377,386.911433172303,417.869565217391
FOXP3,0,0,0,0,0,0
KDM5C,315.648729446936,473.812513346146,434.384368994234,441.323510570147,424.320734571856,446.356609011318
AMER1,438.433685446009,679.18720657277,627.253814553991,584.968603286385,594.069835680751,590.144659624413
AR,272.233441910966,403.296055012667,389.104234527687,391.494752081071,367.239956568947,405.57220412595
MED12,417.897447653981,588.248662692954,568.904783738346,561.087574507107,530.0994956442,564.859086046156
ATRX,439.315015376387,359.635646476802,516.573739804787,564.931274234523,494.246958149485,566.319561438695
STAG2,320.485684265826,240.409246125558,372.39427370633,447.934594168637,364.146309429997,435.917520357237
BCORL1,316.092385218365,479.590518850317,435.115341545353,425.28984695782,402.484509145203,425.77304964539
PHF6,394.018165304269,298.231607629428,465.903723887375,540.553133514986,445.159854677566,524.370572207084
FAM58A,176.519568151147,284.538461538462,251.224021592443,275.955465587045,252.712550607287,279.95681511471
UTY,0,0,0,0,0,0
